city_list,cloudiness,country,date,humidity,lat,long,max_temp,wind_speed
Barrow,0,AR,2019-04-07,32,-38.31,-60.23,80.62,9.1
Arraial do Cabo,0,BR,2019-04-07,88,-22.97,-42.02,80.6,6.93
Nkan,20,CM,2019-04-07,96,2.95,11.22,69.91,1.95
Vao,68,EE,2019-04-07,82,59.1,26.19,43.18,7.43
Nuuk,40,GL,2019-04-07,60,64.17,-51.74,39.2,2.24
Ucluelet,75,CA,2019-04-07,87,48.94,-125.55,55.0,5.82
Yakeshi,64,CN,2019-04-07,73,49.28,120.73,25.36,5.41
Anito,92,PH,2019-04-07,100,12.45,125.29,79.27,13.8
Vardo,75,US,2019-04-07,56,39.62,-77.74,70.0,16.11
Pisco,0,PE,2019-04-07,30,-13.71,-76.2,71.6,6.93
Paamiut,8,GL,2019-04-07,93,61.99,-49.67,33.28,3.96
Laguna,5,MX,2019-04-07,18,27.52,-110.01,91.4,11.41
Faanui,64,PF,2019-04-07,100,-16.48,-151.75,84.13,17.27
Vestmanna,48,FO,2019-04-07,65,62.16,-7.17,41.0,12.75
Hasaki,75,JP,2019-04-07,57,35.73,140.83,50.0,14.99
Saryozek,0,KZ,2019-04-07,82,44.36,77.98,27.43,2.73
Kieta,76,PG,2019-04-07,100,-6.22,155.63,79.9,3.96
Taiyuan,0,CN,2019-04-07,40,37.86,112.56,51.8,11.18
Salinopolis,92,BR,2019-04-07,100,-0.61,-47.36,79.63,6.08
San Patricio,0,PY,2019-04-07,63,-26.98,-56.83,72.61,4.41
Cidreira,92,BR,2019-04-07,96,-30.17,-50.22,68.83,8.32
Clyde River,76,CA,2019-04-07,84,70.47,-68.59,8.6,9.17
Lumeje,32,AO,2019-04-07,79,-11.56,20.78,71.35,4.85
Gaoua,56,BF,2019-04-07,61,10.33,-3.18,78.64,4.29
Alofi,48,NU,2019-04-07,74,-19.06,-169.92,84.2,9.17
Solnechnyy,76,RU,2019-04-07,83,50.72,136.64,23.02,2.28
Santa Cruz,1,US,2019-04-07,64,36.97,-122.03,78.01,5.82
Comodoro Rivadavia,40,AR,2019-04-07,67,-45.87,-67.48,59.0,9.17
Yarada,0,IN,2019-04-07,98,17.65,83.27,83.68,13.02
Weligama,76,LK,2019-04-07,91,5.97,80.42,81.43,2.73
Dilla,68,ET,2019-04-07,62,6.41,38.31,63.88,3.18
Alta Floresta,40,BR,2019-04-07,94,-9.87,-56.08,78.8,3.36
Kabinda,32,CD,2019-04-07,92,-6.14,24.49,71.71,7.87
Paradise Valley,40,CA,2019-04-07,66,53.03,-110.3,50.0,4.7
Lac du Bonnet,92,CA,2019-04-07,93,50.25,-96.06,45.0,3.0
Candelaria,40,CO,2019-04-07,62,3.41,-76.35,84.2,8.05
Mount Gambier,90,AU,2019-04-07,100,-37.83,140.78,53.6,8.05
Samfya,32,ZM,2019-04-07,70,-11.37,29.56,73.78,10.22
Gao,0,ML,2019-04-07,18,16.28,-0.04,82.24,9.22
Taoudenni,0,ML,2019-04-07,31,22.68,-3.98,61.9,2.95
Yar-Sale,24,RU,2019-04-07,85,66.83,70.83,23.02,11.68
Atar,0,MR,2019-04-07,26,20.52,-13.05,67.75,7.2
Kunya,0,NG,2019-04-07,52,12.22,8.53,89.6,5.82
